ticker,name
000080.KS,하이트진로
001040.KS,CJ
001680.KS,대상
001800.KS,오리온홀딩스
002790.KS,아모레퍼시픽홀딩스
003230.KS,삼양식품
004370.KS,농심
004990.KS,롯데지주
005300.KS,롯데칠성
006040.KS,동원산업
007070.KS,GS리테일
007310.KS,오뚜기
015760.KS,한국전력
026960.KS,동서
033780.KS,KT&G
036460.KS,한국가스공사
051900.KS,LG생활건강
071320.KS,한국지역난방공사
090430.KS,아모레퍼시픽
097950.KS,CJ제일제당
139480.KS,이마트
161890.KS,한국콜마
192820.KS,코스맥스
271560.KS,오리온
278470.KS,에이피알
280360.KS,롯데웰푸드
282330.KS,BGF리테일
000810.KS,삼성화재
001450.KS,현대해상
005940.KS,NH투자증권
006800.KS,미래에셋증권
016360.KS,삼성증권
024110.KS,기업은행
029780.KS,삼성카드
032830.KS,삼성생명
039490.KS,키움증권
055550.KS,신한지주
071050.KS,한국금융지주
086790.KS,하나금융지주
088350.KS,한화생명
138040.KS,메리츠금융지주
138930.KS,BNK금융지주
139130.KS,iM금융지주
316140.KS,우리금융지주
323410.KS,카카오뱅크
377300.KS,카카오페이
